gss_code,name,Reception_Obesity_Prevalence_2014-15,Year6_Obesity_Prevalence_2014-15,Reception_Obesity_Prevalence_2015-16,Year6_Obesity_Prevalence_2015-16,Reception_Obesity_Prevalence_2016-17,Year6_Obesity_Prevalence_2016-17,Reception_Obesity_Prevalence_2017-18,Year6_Obesity_Prevalence_2017-18,Reception_Obesity_Prevalence_2018-19,Year6_Obesity_Prevalence_2018-19,Reception_Obesity_Prevalence_2019-20,Year6_Obesity_Prevalence_2019-20,Fast_Food_Density,IMD_Avg_Score,percent_green,population_density_ha,non_working_proportion,non_white_proportion
E09000021,Kingston upon Thames,5.64971751412429,15.7513578756789,5.5186509964231,16.9056152927121,5.0344462109168,15.2661962796665,4.89838457529963,14.8169014084507,5.82677165354331,14.2398286937902,7.69230769230769,18.5792349726776,1.4492295451173418,11.381,52.424867297112584,48,40.48672566371682,31.7
E09000008,Croydon,9.73198594024605,23.8045466422785,10.1898319877809,24.4814340588988,10.6812808940469,23.0866380399091,10.403832991102,23.5154394299287,10.4384133611691,24.5239733883918,9.58005249343832,24.2168674698795,2.1735502072479655,22.477,55.5277898197312,45,51.419558359621455,51.6
E09000006,Bromley,7.86602385181426,16.5356806035838,8.19252432155658,15.9987856709168,7.6843467011643,17.4203338391502,8.45404266526205,15.2011494252874,8.00106326422116,17.8074568725654,7.45920745920746,16.0287081339713,0.6527464778917325,14.163,68.35613819727932,22,41.86046511627907,23.5
E09000018,Hounslow,9.66867469879518,22.8110599078341,10.1161369193154,24.0912606341841,10.364228605271,24.3562231759657,10.1466992665037,22.9868747782902,11.639549436796,24.8115577889447,9.66850828729282,24.1214057507987,1.7142218515691603,21.487,47.31302049962102,49,70.08403361344537,55.9
E09000009,Ealing,9.47802197802198,23.2524964336662,10.9334587350106,23.822791864029,8.56359899520438,23.4875444839858,10.2375296912114,23.9815712900097,10.3058339758417,24.4094488188976,9.77722772277228,23.4466588511137,2.5205082912471304,22.71,43.95870354070271,61,69.24754634678298,56.8
E09000016,Havering,10.3365384615385,20.7707129094412,10.8449336354807,21.7872968980798,10.784009916331,22.8592983779706,10.3630158237667,22.5829216654905,10.7154315046519,21.4673913043478,9.8876404494382,23.8333333333333,0.2970540970241966,16.789,65.98065120538608,23,45.76856649395509,24.7
E09000017,Hillingdon,9.62207856787668,19.7736560829928,9.51126018207954,21.0930576070901,9.40400586223742,22.6490825688073,9.8816263510036,21.8166620228476,9.2754367934224,23.5896090265022,10.7416879795396,21.2871287128713,0.8643002236769508,18.223,54.596097255491735,27,53.67088607594936,51.8
E09000015,Harrow,9.22248401211713,21.1065573770492,8.1913499344692,20.1816745655608,8.33333333333333,20.6403013182674,8.57610474631751,19.7334320621992,7.7445652173913,20.0482259731312,9.54446854663774,21.656050955414,2.159985306369027,15.031,55.418725849955706,50,60.51282051282051,63.5
E09000005,Brent,10.1387406616862,23.9390316796175,10.1717659688674,24.3443557582668,13.6567360928025,28.3124128312413,14.7240990990991,28.0547945205479,12.7988748241913,26.0032537960954,11.2573099415205,25.1046025104603,2.220544327783621,25.558,39.93640556497329,76,59.8951507208388,65.4
E09000003,Barnet,8.95833333333333,18.3630952380952,8.34141610087294,20.6579314190131,9.17253093909245,19.004779308406,8.62151777137368,18.5938707185166,8.12133072407045,20.0292041859333,7.63358778625954,20.4488778054863,1.3141466029553028,16.148,57.99429916812816,46,57.359813084112155,42.3
E09000023,Lewisham,10.9820193637621,24.221211060553,10.283200439923,23.5845896147404,9.90070921985816,23.3897202342225,7.42410580102194,24.2724656220019,9.8531211750306,22.4408238549032,9.88835725677831,23.7704918032787,5.493100692500217,26.661,40.2499599786026,87,40.37184594953519,48.5
E09000011,Greenwich,12.8278221208666,24.4808743169399,12.9988597491448,27.725531173807,11.6778149386845,28.0343007915567,12.7374301675978,25.0316455696203,12.3076923076923,26.9381598793364,13.9204545454545,28.1733746130031,2.9340661786905224,24.464,43.21974810806909,61,48.99328859060403,44.3
E09000004,Bexley,10.182606004333,21.4448669201521,10.9531013615734,22.7093065037729,12.5038687712782,24.481772694782,10.3324641460235,21.5547703180212,10.9686128923388,22.984508378122,9.86238532110092,22.0982142857143,0.49777202046363006,16.273,42.91833378756375,41,55.61056105610561,28.1
E09000010,Enfield,10.5455431076473,25.3655942568466,11.7996201329535,25.1878725058305,11.3216160693906,25.2702378092722,12.2866073575379,25.5648330058939,11.7091836734694,27.0233196159122,,,1.16788049315994,25.781,52.95275383434633,41,63.23060573857598,47.9
E09000031,Waltham Forest,11.2646440372484,21.6635859519408,10.6187050359712,26.2931034482759,9.68225419664268,25.5211835911231,9.40623162845385,24.3472584856397,10.5769230769231,23.7155388471178,9.79020979020979,24.0322580645161,1.6233781824187163,25.209,44.355343120455245,71,51.90615835777126,47.2
E09000022,Lambeth,10.5227195080287,27.1166601638705,10.8052305574673,22.9527559055118,10.5117565698479,24.5859403754141,10.1439571476398,24.3576205561422,10.3591160220994,23.5721703011423,10.1239669421488,23.7394957983193,6.9726462628382455,25.422,32.911123668751195,120,41.92439862542955,45.0
E09000026,Redbridge,10.7312203643624,22.8705752212389,9.68241673121611,23.2937275490467,11.92948563149,23.6207820032137,11.1879476413929,25.2912244369661,9.99008428358949,24.0990990990991,11.3831089351285,25.1898734177215,1.6831373862658516,17.203,53.563235138973795,54,61.881785283474066,65.2
E09000029,Sutton,6.26945309026234,17.3614775725594,7.28070175438597,18.3803942461375,6.76126878130217,18.0157946692991,7.32984293193717,19.1129401005944,7.95093139482054,19.8371893744644,,17.6855895196507,2.622757910612196,13.987,49.69171024699026,47,44.79371316306484,31.7
E09000027,Richmond upon Thames,4.59183673469388,11.2048192771084,5.27835051546392,12.5732551944592,5.50308008213552,13.9476334340383,5.54621848739496,12.2627737226277,6.11973392461197,11.2157918349035,5.13595166163142,11.9883040935673,0.3573787781297495,9.425,61.991301608272956,35,40.438247011952186,19.5
E09000024,Merton,7.71513353115727,21.6484089723526,7.46203904555315,19.2150866462793,8.6812732534105,21.6229838709677,8.33333333333333,21.7391304347826,7.79630464173051,19.7299651567944,8.74439461883408,20.7823960880196,1.7275864855621925,14.649,48.7808883386769,55,53.13131313131313,39.8
E09000032,Wandsworth,8.16471423500177,20.6599713055954,7.64144011756062,19.3419740777667,7.29613733905579,20.8646616541353,7.63636363636364,19.5217391304348,6.61125802795618,19.2708333333333,,,3.577496919845394,16.611,39.00926907981298,96,46.50766609880749,32.2
E09000013,Hammersmith and Fulham,9.88112927191679,23.2599118942731,8.44444444444444,21.3181448331977,8.91812865497076,22.8785357737105,9.25373134328358,21.5348472983555,7.99689440993789,20.508866615266,7.8740157480315,19.9248120300752,5.946111144952707,22.27,27.595121187844974,112,49.72527472527473,36.8
